########################
# Weapon Proficiencies #
########################
Short Weapons,1,-,"You are trained in the use of short weapons. A ""short weapon"" is classified as being a hand-held melee weapon that is no more than roughly 20 inches long, from the end of the pommel to the tip of the blade."
One-handed Weapons,2,"Short Weapons","You are trained in the use of one-handed weapons. A “one-handed weapon” is classified as being a hand-held melee weapon that is no more than roughly 48 inches long, from the end of the pommel to the tip of the blade."
Two-handed Weapons,3,"One-handed Weapons","You are trained in the use of two-handed weapons. A “two-handed weapon” is classified as being a hand-held melee weapon that is more than roughly 48 inches long, from the end of the pommel to the tip of the blade."
Oversized Weapon Use,2,"Two-handed Weapons","You have built up enough strength and training to be able to use two-handed weapons in one hand. “Two-handed weapons” are classified as being longer than roughly 48 inches; without this skill, characters cannot wield such weapons in one hand, no matter how light they are. It is important to note, though, that weapons of this length will still qualify as “two-handed weapons” for all game-rule purposes, even if you are wielding them in one hand. For instance, the DISARM and FEINT skills can only be used when one is wielding a “one-handed weapon”—for this purpose, actual weapon length is more important than how many hands one happens to be using."
Thrown Weapons,2,-,"You have practiced the art of using weapons that are intended to be thrown (such as throwing daggers, chakram, and stones). Thrown weapons may be of any size, as long as they have been cleared for safety ahead of time by Twin Mask staff."
Bow and Arrow,3,-,"You have trained as an archer, such that you can use a bow effectively in combat. In Twin Mask, acceptable bows have a maximum draw strength of 30 pounds, archers may not fire at targets closer than 10 feet, all arrows must have a padded arrow tip larger than an average eye socket, and all arrows must be “pennied” (which means that a penny has been used to cover the end of the arrow shaft, inside the padding, so that the shaft cannot pierce the padding). Additionally, for safety reasons, no crossbows are allowed in Twin Mask."
Two-weapon Fighting: Apprentice,3,-,"You have practiced fighting with two weapons at once, to the point that you can wield “short weapons” (no more than 20 inches long) in both hands at the same time. Without this skill, characters cannot equip weapons in both hands."
Two-weapon Fighting: Journeyman,3,"Two-weapon Fighting: Apprentice","You have practiced fighting with two weapons at once, to the point that you can wield a “short weapon” (no more than 20 inches long) in one hand while you wield a “one-handed weapon” (between 20 and 48 inches long) in the other hand."
Two-weapon Fighting: Master,3,"Two-weapon Fighting: Journeyman","You have practiced fighting with two weapons at once, to the point that you can wield any two weapons, of any length, at the same time."

#######################
# Armor Proficiencies #
#######################
Armored Training: Light,2,-,"You have trained in the art of wearing light armors in combat, giving you effective mobility while still benefiting from added defense. Light armor is generally constructed of padding, soft leather, or studded leather."
Armored Training: Medium,2,"Armored Training: Light","You have trained in the art of wearing medium-weight armors in combat, giving you effective mobility while still benefiting from added defense. Medium-weight armor is generally constructed of hardened leather or chain."
Armored Training: Heavy,2,"Armored Training: Medium","You have trained in the art of wearing heavy armors in combat, giving you effective mobility while still benefiting from added defense. Heavy armor is generally constructed of metal plate."
Small Shield,3,-,"You have practiced using a small shield in combat, allowing you to move and block blows while maintaining your footing in the fight. You may equip a small shield—which is defined as “no longer in any one dimension than its wielder’s torso” if you dedicate an arm to using it.  Alternatively, though, you have the option of using a buckler-sized shield—defined as “no longer in any one dimension than its wielder’s forearm”—by strapping it to your forearm and leaving your hand free. If you choose to use a buckler in this way, you may use that hand for any martial purposes, including wielding a two-handed weapon or using TWO-WEAPON FIGHTING.  You may only ever equip 1 shield at a time."
